Job Title;Rating;Company Name;Type of ownership;Industry;Sector;Revenue;Competitors;Hourly;Glassdoor estimates;Employer estimates;Employer provided;Min Salary Estimate;Max Salary Estimate;Average Salary Estimate;Location City;Location State;Headquarters City;Headquarters State;Same state;Same city;Size Ordinal Encoding;Age Company;AWS;Python;Master degree;Bachelor degree;PHD
Data Analytics Manager;3.8;Full Potential Solutions;Company - Private;Staffing & Outsourcing;Business Services;Unknown / Non-Applicable;-1;0;1;0;0;26.0;55.0;40.5;Kansas City; MO;Kansas City; MO;1;1;4.0;5;1;1;0;0;0
Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics;3.7;Visa Inc.;Company - Public;IT Services;Information Technology;$10+ billion (USD);American Express, Mastercard, Discover;0;1;0;0;61.0;118.0;89.5;Ashburn; VA;Foster City; CA;0;0;7.0;64;0;1;0;0;1
Data Scientist;4.4;Maven Wave Partners;Company - Private;Consulting;Business Services;$50 to $100 million (USD);-1;0;1;0;0;60.0;102.0;81.0;Chicago; IL;Chicago; IL;1;1;3.0;14;1;1;0;0;0
Senior Data Scientist;4.0;Novetta;Company - Private;Enterprise Software & Network Solutions;Information Technology;$100 to $500 million (USD);Leidos, CACI International, Booz Allen Hamilton;0;1;0;0;112.0;182.0;147.0;Herndon; VA;Mc Lean; VA;1;0;4.0;10;1;1;0;0;0
Data Scientist;3.2;First Command Financial Services, Inc.;Company - Private;Brokerage Services;Finance;$100 to $500 million (USD);USAA, Navy Federal Credit Union, Raymond James Financial;0;1;0;0;64.0;106.0;85.0;Fort Worth; TX;Fort Worth; TX;1;1;5.0;64;0;1;0;0;0
Associate Scientist;2.9;Pharmavite;Company - Private;Consumer Products Manufacturing;Manufacturing;$1 to $2 billion (USD);The Nature's Bounty Co., Schiff Nutrition International;0;1;0;0;51.0;112.0;81.5;Valencia; CA;West Hills; CA;1;0;5.0;51;0;0;1;1;1
Scientist 2, QC Viral Vector;3.8;BioMarin Pharmaceutical;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$500 million to $1 billion (USD);Genentech, Ultragenyx Pharmaceutical, Gilead Sciences;0;1;0;0;113.0;223.0;168.0;Novato; CA;San Rafael; CA;1;0;5.0;25;0;0;0;0;1
Machine Learning Engineer;4.3;Stratagem Group;Company - Private;Aerospace & Defense;Aerospace & Defense;Unknown / Non-Applicable;-1;0;1;0;0;72.0;129.0;100.5;Aurora; CO;Aurora; CO;1;1;;15;1;1;0;0;0
Data Scientist/ML Engineer;3.4;PA Consulting;Company - Private;Consulting;Business Services;$100 to $500 million (USD);McKinsey & Company, Accenture, Deloitte;0;1;0;0;71.0;123.0;97.0;New York; NY;London; United Kingdom;0;0;5.0;79;0;1;0;0;0
Data Scientist;4.1;ManTech;Company - Public;Research & Development;Business Services;$1 to $2 billion (USD);-1;0;1;0;0;64.0;106.0;85.0;Chantilly; VA;Herndon; VA;1;0;6.0;54;0;0;0;0;0
Customer Data Scientist;4.3;h2o.ai;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable;-1;0;1;0;0;118.0;189.0;153.5;Mountain View; CA;Mountain View; CA;1;1;3.0;11;1;1;0;1;0
Data Engineer;5.0;Gridiron IT;Company - Private;IT Services;Information Technology;Unknown / Non-Applicable;-1;0;0;0;1;120.0;145.0;132.5;Tampa; FL;Reston; VA;0;0;2.0;5;0;0;0;0;0
Data Engineer;4.3;Productive Edge;Company - Private;Computer Hardware & Software;Information Technology;$10 to $25 million (USD);Numerator, Rise Interactive, Salom;0;1;0;0;80.0;120.0;100.0;Chicago; IL;Chicago; IL;1;1;2.0;14;0;0;0;0;0
Sr. Data Scientist;3.7;Evolve Vacation Rental;Company - Private;Travel Agencies;Travel & Tourism;Unknown / Non-Applicable;-1;0;1;0;0;80.0;130.0;105.0;Denver; CO;Denver; CO;1;1;3.0;11;0;1;0;0;1
